Step,Activity,Dampening,CurrentCalcium,TargetCalcium,SynapticInput,BackgroundInput,GrownAxons,ConnectedAxons,GrownDendrites,ConnectedDendrites
1,-61.6106,-12.2954,0.0047,0.6963,0.0782608695652174,3.9927536231884058,14.240579710144928,14.240579710144928,14.340579710144928,14.340579710144928
2,-62.4518,-12.3028,0.0116,0.6963,0.11739130434782609,3.9507246376811596,14.240579710144928,14.240579710144928,14.340579710144928,14.340579710144928
3,-62.6606,-12.2764,0.0185,0.6963,0.06739130434782609,3.979710144927536,14.240579710144928,14.240579710144928,14.340579710144928,14.340579710144928
4,-63.0302,-12.227,0.0253,0.6963,0.09021739130434783,3.9615942028985507,14.240579710144928,14.240579710144928,14.340579710144928,14.340579710144928
5,-63.4802,-12.2056,0.032,0.6963,0.07282608695652174,4.004347826086956,14.240579710144928,14.240579710144928,14.340579710144928,14.340579710144928
6,-64.0102,-12.2036,0.0387,0.6963,0.07065217391304347,3.997826086956522,14.240579710144928,14.240579710144928,14.340579710144928,14.340579710144928
7,-64.2232,-12.0978,0.0453,0.6963,0.1391304347826087,3.965217391304348,14.240579710144928,14.240579710144928,14.340579710144928,14.340579710144928
8,-64.3253,-12.0283,0.0519,0.6963,0.1,4.050724637681159,14.240579710144928,14.240579710144928,14.340579710144928,14.340579710144928
9,-64.4745,-11.9763,0.0583,0.6963,0.15543478260869564,4.027536231884058,14.240579710144928,14.240579710144928,14.340579710144928,14.340579710144928
10,-64.7793,-11.8756,0.0647,0.6963,0.1358695652173913,3.972463768115942,14.240579710144928,14.240579710144928,14.340579710144928,14.340579710144928
11,-64.8834,-11.848,0.0711,0.6963,0.0967391304347826,3.984782608695652,14.240579710144928,14.240579710144928,14.340579710144928,14.340579710144928
12,-65.397,-11.7305,0.0774,0.6963,0.13478260869565217,4.01231884057971,14.240579710144928,14.240579710144928,14.340579710144928,14.340579710144928
13,-65.2072,-11.6039,0.0836,0.6963,0.22282608695652173,3.991304347826087,14.240579710144928,14.240579710144928,14.340579710144928,14.340579710144928
14,-65.3041,-11.5525,0.0898,0.6963,0.15543478260869564,3.9420289855072466,14.240579710144928,14.240579710144928,14.340579710144928,14.340579710144928
15,-65.2639,-11.4339,0.0959,0.6963,0.2891304347826087,3.968840579710145,14.240579710144928,14.240579710144928,14.340579710144928,14.340579710144928
16,-65.1874,-11.3132,0.1018,0.6963,0.3576086956521739,4.051449275362319,14.240579710144928,14.240579710144928,14.340579710144928,14.340579710144928
17,-64.9609,-11.2093,0.1078,0.6963,0.36630434782608695,4.026811594202899,14.240579710144928,14.240579710144928,14.340579710144928,14.340579710144928
