TargetArea SourceArea Area AvgPosX AvgPosY AvgPosZ SumWeights
0.0 0.0 0.0 55.07455 49.1912 142.09076 3278.0
0.0 0.0 0.0 55.07455 49.1912 142.09076 3278.0
0.0 2.0 2.0 27.56835 25.18533 88.04567 7.0
0.0 2.0 0.0 55.07455 49.1912 142.09076 7.0
0.0 4.0 4.0 72.19284 108.31363 139.77932 24.0
0.0 4.0 0.0 55.07455 49.1912 142.09076 24.0
0.0 16.0 16.0 37.06408 38.80997 124.5023 1183.0
0.0 16.0 0.0 55.07455 49.1912 142.09076 1183.0
0.0 22.0 22.0 25.11482 80.08965 119.46165 520.0
0.0 22.0 0.0 55.07455 49.1912 142.09076 520.0
0.0 24.0 24.0 107.85731 87.19288 149.12975 14.0
0.0 24.0 0.0 55.07455 49.1912 142.09076 14.0
0.0 26.0 26.0 131.96507 45.18226 139.19094 1.0
0.0 26.0 0.0 55.07455 49.1912 142.09076 1.0
0.0 27.0 27.0 18.68821 45.45772 103.75738 40.0
0.0 27.0 0.0 55.07455 49.1912 142.09076 40.0
0.0 28.0 28.0 83.81575 39.40499 143.33059 1046.0
0.0 28.0 0.0 55.07455 49.1912 142.09076 1046.0
0.0 29.0 29.0 122.70202 20.67356 121.33428 1.0
0.0 29.0 0.0 55.07455 49.1912 142.09076 1.0
0.0 33.0 33.0 97.52192 49.89981 149.2387 259.0
0.0 33.0 0.0 55.07455 49.1912 142.09076 259.0
0.0 36.0 36.0 51.13874 19.3516 119.43726 419.0
0.0 36.0 0.0 55.07455 49.1912 142.09076 419.0
0.0 37.0 37.0 80.0996 11.09642 113.86035 77.0
0.0 37.0 0.0 55.07455 49.1912 142.09076 77.0
0.0 38.0 38.0 88.68532 68.28035 152.63772 362.0
0.0 38.0 0.0 55.07455 49.1912 142.09076 362.0
0.0 41.0 41.0 59.64592 125.78401 122.61941 3.0
0.0 41.0 0.0 55.07455 49.1912 142.09076 3.0
0.0 42.0 42.0 56.56636 85.16394 144.94798 890.0
0.0 42.0 0.0 55.07455 49.1912 142.09076 890.0
0.0 44.0 44.0 70.50872 22.757 131.42057 492.0
0.0 44.0 0.0 55.07455 49.1912 142.09076 492.0
1.0 1.0 1.0 66.37742 89.45071 7.66041 9060.0
1.0 1.0 1.0 66.37742 89.45071 7.66041 9060.0
1.0 5.0 5.0 36.29494 130.09129 82.17663 20.0
1.0 5.0 1.0 66.37742 89.45071 7.66041 20.0
1.0 8.0 8.0 108.45081 85.58767 38.81866 1492.0
1.0 8.0 1.0 66.37742 89.45071 7.66041 1492.0
1.0 11.0 11.0 48.33798 14.22423 56.48075 26.0
1.0 11.0 1.0 66.37742 89.45071 7.66041 26.0
1.0 14.0 14.0 128.57071 115.95085 40.45306 44.0
1.0 14.0 1.0 66.37742 89.45071 7.66041 44.0
1.0 19.0 19.0 66.55911 15.5653 45.61762 27.0
1.0 19.0 1.0 66.37742 89.45071 7.66041 27.0
1.0 20.0 20.0 85.22276 53.68592 22.50892 1948.0
1.0 20.0 1.0 66.37742 89.45071 7.66041 1948.0
1.0 21.0 21.0 28.02756 77.97112 19.5547 1212.0
