TargetArea SourceArea Area AvgPosX AvgPosY AvgPosZ SumWeights
0.0 0.0 0.0 55.21299 49.33962 142.20614 2316.0
0.0 0.0 0.0 55.21299 49.33962 142.20614 2316.0
0.0 2.0 2.0 28.05696 24.7523 88.43641 13.0
0.0 2.0 0.0 55.21299 49.33962 142.20614 13.0
0.0 3.0 3.0 83.17992 3.82227 87.8561 5.0
0.0 3.0 0.0 55.21299 49.33962 142.20614 5.0
0.0 4.0 4.0 72.38964 108.30343 139.85718 36.0
0.0 4.0 0.0 55.21299 49.33962 142.20614 36.0
0.0 5.0 5.0 36.76872 130.39056 82.27561 1.0
0.0 5.0 0.0 55.21299 49.33962 142.20614 1.0
0.0 6.0 6.0 5.45172 84.97579 74.40264 2.0
0.0 6.0 0.0 55.21299 49.33962 142.20614 2.0
0.0 16.0 16.0 37.15264 38.62655 124.46398 853.0
0.0 16.0 0.0 55.21299 49.33962 142.20614 853.0
0.0 22.0 22.0 25.37753 80.0964 119.8263 465.0
0.0 22.0 0.0 55.21299 49.33962 142.20614 465.0
0.0 24.0 24.0 107.23953 87.58192 149.10252 26.0
0.0 24.0 0.0 55.21299 49.33962 142.20614 26.0
0.0 26.0 26.0 131.64334 44.92152 139.1999 4.0
0.0 26.0 0.0 55.21299 49.33962 142.20614 4.0
0.0 27.0 27.0 18.78202 45.51791 103.98512 52.0
0.0 27.0 0.0 55.21299 49.33962 142.20614 52.0
0.0 28.0 28.0 83.09245 40.02517 143.58694 827.0
0.0 28.0 0.0 55.21299 49.33962 142.20614 827.0
0.0 29.0 29.0 122.52193 20.6651 121.44454 6.0
0.0 29.0 0.0 55.21299 49.33962 142.20614 6.0
0.0 33.0 33.0 97.65893 49.78893 149.20728 209.0
0.0 33.0 0.0 55.21299 49.33962 142.20614 209.0
0.0 36.0 36.0 51.15631 19.25332 119.26686 296.0
0.0 36.0 0.0 55.21299 49.33962 142.20614 296.0
0.0 37.0 37.0 79.7117 11.04069 113.72834 96.0
0.0 37.0 0.0 55.21299 49.33962 142.20614 96.0
0.0 38.0 38.0 88.19921 68.24402 152.65649 295.0
