TargetArea SourceArea Area AvgPosX AvgPosY AvgPosZ SumWeights
0.0 0.0 0.0 55.09285 48.89774 141.9719 3837.0
0.0 0.0 0.0 55.09285 48.89774 141.9719 3837.0
0.0 2.0 2.0 27.38068 25.3477 87.70267 10.0
0.0 2.0 0.0 55.09285 48.89774 141.9719 10.0
0.0 4.0 4.0 72.08425 108.40524 139.66375 12.0
0.0 4.0 0.0 55.09285 48.89774 141.9719 12.0
0.0 16.0 16.0 37.09942 39.10269 124.71401 1417.0
0.0 16.0 0.0 55.09285 48.89774 141.9719 1417.0
0.0 22.0 22.0 25.0872 80.02484 119.45444 546.0
0.0 22.0 0.0 55.09285 48.89774 141.9719 546.0
0.0 24.0 24.0 107.83513 87.22693 149.15245 16.0
0.0 24.0 0.0 55.09285 48.89774 141.9719 16.0
0.0 27.0 27.0 18.73046 45.3449 103.74598 32.0
0.0 27.0 0.0 55.09285 48.89774 141.9719 32.0
0.0 28.0 28.0 84.33181 38.93002 143.13722 1157.0
0.0 28.0 0.0 55.09285 48.89774 141.9719 1157.0
0.0 29.0 29.0 122.70173 20.57766 121.16178 1.0
0.0 29.0 0.0 55.09285 48.89774 141.9719 1.0
0.0 33.0 33.0 97.17634 49.93474 149.2337 272.0
0.0 33.0 0.0 55.09285 48.89774 141.9719 272.0
0.0 36.0 36.0 51.15823 19.50654 119.69935 471.0
0.0 36.0 0.0 55.09285 48.89774 141.9719 471.0
0.0 37.0 37.0 80.2086 11.05211 113.80291 91.0
0.0 37.0 0.0 55.09285 48.89774 141.9719 91.0
0.0 38.0 38.0 88.73237 68.41099 152.61332 415.0
0.0 38.0 0.0 55.09285 48.89774 141.9719 415.0
0.0 41.0 41.0 59.86332 126.07515 122.49382 3.0
0.0 41.0 0.0 55.09285 48.89774 141.9719 3.0
0.0 42.0 42.0 56.61404 85.22804 144.95303 914.0
0.0 42.0 0.0 55.09285 48.89774 141.9719 914.0
0.0 44.0 44.0 70.22637 22.72152 131.3446 604.0
0.0 44.0 0.0 55.09285 48.89774 141.9719 604.0
