TargetArea SourceArea Area AvgPosX AvgPosY AvgPosZ SumWeights
0.0 0.0 0.0 55.09228 48.89729 141.9697 3909.0
0.0 0.0 0.0 55.09228 48.89729 141.9697 3909.0
0.0 2.0 2.0 27.43065 25.29608 87.70379 8.0
0.0 2.0 0.0 55.09228 48.89729 141.9697 8.0
0.0 4.0 4.0 72.08766 108.39981 139.6712 12.0
0.0 4.0 0.0 55.09228 48.89729 141.9697 12.0
0.0 16.0 16.0 37.09919 39.11355 124.71551 1346.0
0.0 16.0 0.0 55.09228 48.89729 141.9697 1346.0
0.0 22.0 22.0 25.08376 80.03591 119.44957 570.0
0.0 22.0 0.0 55.09228 48.89729 141.9697 570.0
0.0 24.0 24.0 107.86589 87.21069 149.15047 17.0
0.0 24.0 0.0 55.09228 48.89729 141.9697 17.0
0.0 26.0 26.0 132.082 45.12156 139.11617 1.0
0.0 26.0 0.0 55.09228 48.89729 141.9697 1.0
0.0 27.0 27.0 18.72934 45.34232 103.73865 43.0
0.0 27.0 0.0 55.09228 48.89729 141.9697 43.0
0.0 28.0 28.0 84.3092 38.94008 143.13944 1107.0
0.0 28.0 0.0 55.09228 48.89729 141.9697 1107.0
0.0 29.0 29.0 122.73335 20.58185 121.14862 2.0
0.0 29.0 0.0 55.09228 48.89729 141.9697 2.0
0.0 33.0 33.0 97.19737 49.92936 149.22986 279.0
0.0 33.0 0.0 55.09228 48.89729 141.9697 279.0
0.0 36.0 36.0 51.17774 19.4948 119.7017 477.0
0.0 36.0 0.0 55.09228 48.89729 141.9697 477.0
0.0 37.0 37.0 80.21648 11.04362 113.78285 78.0
0.0 37.0 0.0 55.09228 48.89729 141.9697 78.0
0.0 38.0 38.0 88.69688 68.42415 152.61502 435.0
0.0 38.0 0.0 55.09228 48.89729 141.9697 435.0
0.0 41.0 41.0 59.85583 126.058 122.50796 2.0
0.0 41.0 0.0 55.09228 48.89729 141.9697 2.0
0.0 42.0 42.0 56.60024 85.22575 144.9504 932.0
0.0 42.0 0.0 55.09228 48.89729 141.9697 932.0
0.0 44.0 44.0 70.24184 22.70983 131.33805 655.0
0.0 44.0 0.0 55.09228 48.89729 141.9697 655.0
1.0 1.0 1.0 66.20461 89.13061 7.4231 12513.0
1.0 1.0 1.0 66.20461 89.13061 7.4231 12513.0
1.0 8.0 8.0 89.92503 90.4542 30.4013 122.0
