TargetArea SourceArea Area AvgPosX AvgPosY AvgPosZ SumWeights
0.0 0.0 0.0 55.10197 48.89472 141.97573 2948.0
0.0 0.0 0.0 55.10197 48.89472 141.97573 2948.0
0.0 2.0 2.0 27.33075 25.39708 87.69619 7.0
0.0 2.0 0.0 55.10197 48.89472 141.97573 7.0
0.0 4.0 4.0 72.05604 108.39682 139.66366 11.0
0.0 4.0 0.0 55.10197 48.89472 141.97573 11.0
0.0 5.0 5.0 36.13697 130.0432 82.17541 1.0
0.0 5.0 0.0 55.10197 48.89472 141.97573 1.0
0.0 8.0 8.0 108.19285 85.96773 38.67715 1.0
0.0 8.0 0.0 55.10197 48.89472 141.97573 1.0
0.0 16.0 16.0 37.10266 39.09945 124.69997 1078.0
0.0 16.0 0.0 55.10197 48.89472 141.97573 1078.0
0.0 22.0 22.0 25.0752 79.99256 119.44291 462.0
0.0 22.0 0.0 55.10197 48.89472 141.97573 462.0
0.0 24.0 24.0 107.88696 87.25481 149.14098 11.0
0.0 24.0 0.0 55.10197 48.89472 141.97573 11.0
0.0 27.0 27.0 18.76212 45.33038 103.8025 24.0
0.0 27.0 0.0 55.10197 48.89472 141.97573 24.0
0.0 28.0 28.0 84.3596 38.94443 143.14923 856.0
0.0 28.0 0.0 55.10197 48.89472 141.97573 856.0
0.0 33.0 33.0 97.23914 49.91144 149.22931 207.0
0.0 33.0 0.0 55.10197 48.89472 141.97573 207.0
0.0 36.0 36.0 51.17204 19.47036 119.67531 361.0
0.0 36.0 0.0 55.10197 48.89472 141.97573 361.0
0.0 37.0 37.0 80.19722 11.06809 113.82842 67.0
0.0 37.0 0.0 55.10197 48.89472 141.97573 67.0
0.0 38.0 38.0 88.78499 68.42501 152.61668 285.0
0.0 38.0 0.0 55.10197 48.89472 141.97573 285.0
0.0 41.0 41.0 59.86971 126.0579 122.5066 1.0
0.0 41.0 0.0 55.10197 48.89472 141.97573 1.0
0.0 42.0 42.0 56.59204 85.22048 144.9451 707.0
0.0 42.0 0.0 55.10197 48.89472 141.97573 707.0
0.0 44.0 44.0 70.21752 22.72584 131.34154 465.0
0.0 44.0 0.0 55.10197 48.89472 141.97573 465.0
1.0 1.0 1.0 66.23995 89.20359 7.45639 8536.0
1.0 1.0 1.0 66.23995 89.20359 7.45639 8536.0
1.0 5.0 5.0 36.13697 130.0432 82.17541 13.0
1.0 5.0 1.0 66.23995 89.20359 7.45639 13.0
1.0 8.0 8.0 108.19285 85.96773 38.67715 1277.0
1.0 8.0 1.0 66.23995 89.20359 7.45639 1277.0
1.0 11.0 11.0 48.5423 14.10302 56.5215 11.0
1.0 11.0 1.0 66.23995 89.20359 7.45639 11.0
1.0 13.0 13.0 21.7903 31.14873 56.43023 2.0
1.0 13.0 1.0 66.23995 89.20359 7.45639 2.0
1.0 14.0 14.0 128.28504 116.05818 40.28043 40.0
1.0 14.0 1.0 66.23995 89.20359 7.45639 40.0
1.0 19.0 19.0 66.39193 15.82201 45.32282 19.0
1.0 19.0 1.0 66.23995 89.20359 7.45639 19.0
1.0 20.0 20.0 85.00736 53.72824 22.22367 1662.0
1.0 20.0 1.0 66.23995 89.20359 7.45639 1662.0
1.0 21.0 21.0 28.28299 78.10919 19.30086 1181.0
1.0 21.0 1.0 66.23995 89.20359 7.45639 1181.0
1.0 30.0 30.0 88.30627 139.9308 62.65263 251.0
1.0 30.0 1.0 66.23995 89.20359 7.45639 251.0
1.0 31.0 31.0 121.62496 38.97276 36.07098 4.0
1.0 31.0 1.0 66.23995 89.20359 7.45639 4.0
1.0 39.0 39.0 21.80086 50.12867 32.81178 193.0
1.0 39.0 1.0 66.23995 89.20359 7.45639 193.0
1.0 40.0 40.0 83.26503 23.52186 42.40212 14.0
1.0 40.0 1.0 66.23995 89.20359 7.45639 14.0
1.0 45.0 45.0 35.11794 116.38018 28.56722 1470.0
1.0 45.0 1.0 66.23995 89.20359 7.45639 1470.0
1.0 46.0 46.0 114.47656 130.24312 52.69899 109.0
1.0 46.0 1.0 66.23995 89.20359 7.45639 109.0
2.0 0.0 0.0 55.10197 48.89472 141.97573 9.0
2.0 0.0 2.0 27.33075 25.39708 87.69619 9.0
2.0 2.0 2.0 27.33075 25.39708 87.69619 5126.0
2.0 2.0 2.0 27.33075 25.39708 87.69619 5126.0
2.0 3.0 3.0 83.12189 3.83051 88.03471 225.0
2.0 3.0 2.0 27.33075 25.39708 87.69619 225.0
2.0 6.0 6.0 5.47349 84.7705 74.39456 372.0
2.0 6.0 2.0 27.33075 25.39708 87.69619 372.0
2.0 11.0 11.0 48.5423 14.10302 56.5215 1019.0
2.0 11.0 2.0 27.33075 25.39708 87.69619 1019.0
2.0 13.0 13.0 21.7903 31.14873 56.43023 1051.0
2.0 13.0 2.0 27.33075 25.39708 87.69619 1051.0
2.0 16.0 16.0 37.10266 39.09945 124.69997 571.0
2.0 16.0 2.0 27.33075 25.39708 87.69619 571.0
2.0 19.0 19.0 66.39193 15.82201 45.32282 7.0
2.0 19.0 2.0 27.33075 25.39708 87.69619 7.0
2.0 20.0 20.0 85.00736 53.72824 22.22367 1.0
2.0 20.0 2.0 27.33075 25.39708 87.69619 1.0
2.0 21.0 21.0 28.28299 78.10919 19.30086 1.0
2.0 21.0 2.0 27.33075 25.39708 87.69619 1.0
2.0 22.0 22.0 25.0752 79.99256 119.44291 61.0
