TargetArea SourceArea Area AvgPosX AvgPosY AvgPosZ SumWeights
0.0 0.0 0.0 55.10963 48.93311 141.98962 3857.0
0.0 0.0 0.0 55.10963 48.93311 141.98962 3857.0
0.0 2.0 2.0 27.37351 25.36536 87.72849 9.0
0.0 2.0 0.0 55.10963 48.93311 141.98962 9.0
0.0 3.0 3.0 83.16055 3.83079 88.02778 1.0
0.0 3.0 0.0 55.10963 48.93311 141.98962 1.0
0.0 4.0 4.0 72.08227 108.37964 139.6826 13.0
0.0 4.0 0.0 55.10963 48.93311 141.98962 13.0
0.0 5.0 5.0 36.14452 130.03738 82.22956 1.0
0.0 5.0 0.0 55.10963 48.93311 141.98962 1.0
0.0 16.0 16.0 37.1002 39.02903 124.65795 1416.0
0.0 16.0 0.0 55.10963 48.93311 141.98962 1416.0
0.0 22.0 22.0 25.10209 80.072 119.46754 576.0
0.0 22.0 0.0 55.10963 48.93311 141.98962 576.0
0.0 24.0 24.0 107.93616 87.19851 149.14537 17.0
0.0 24.0 0.0 55.10963 48.93311 141.98962 17.0
0.0 27.0 27.0 18.71983 45.33865 103.72826 36.0
0.0 27.0 0.0 55.10963 48.93311 141.98962 36.0
0.0 28.0 28.0 84.37415 38.93967 143.14353 1143.0
0.0 28.0 0.0 55.10963 48.93311 141.98962 1143.0
0.0 29.0 29.0 122.71591 20.58632 121.16443 1.0
0.0 29.0 0.0 55.10963 48.93311 141.98962 1.0
0.0 33.0 33.0 97.15403 49.93433 149.23595 260.0
0.0 33.0 0.0 55.10963 48.93311 141.98962 260.0
0.0 36.0 36.0 51.21377 19.50548 119.73396 470.0
0.0 36.0 0.0 55.10963 48.93311 141.98962 470.0
0.0 37.0 37.0 80.28116 11.07508 113.85161 79.0
0.0 37.0 0.0 55.10963 48.93311 141.98962 79.0
0.0 38.0 38.0 88.70857 68.41859 152.61726 409.0
0.0 38.0 0.0 55.10963 48.93311 141.98962 409.0
0.0 41.0 41.0 59.82731 126.06737 122.47689 1.0
0.0 41.0 0.0 55.10963 48.93311 141.98962 1.0
0.0 42.0 42.0 56.59767 85.21303 144.94672 924.0
0.0 42.0 0.0 55.10963 48.93311 141.98962 924.0
0.0 44.0 44.0 70.22637 22.7304 131.34699 590.0
0.0 44.0 0.0 55.10963 48.93311 141.98962 590.0
1.0 1.0 1.0 66.232 89.23896 7.46823 11159.0
1.0 1.0 1.0 66.232 89.23896 7.46823 11159.0
1.0 5.0 5.0 36.14452 130.03738 82.22956 17.0
1.0 5.0 1.0 66.232 89.23896 7.46823 17.0
1.0 6.0 6.0 5.47875 84.78786 74.40348 1.0
1.0 6.0 1.0 66.232 89.23896 7.46823 1.0
1.0 8.0 8.0 108.19221 85.98578 38.68599 1677.0
1.0 8.0 1.0 66.232 89.23896 7.46823 1677.0
1.0 11.0 11.0 48.53485 14.07991 56.60291 15.0
1.0 11.0 1.0 66.232 89.23896 7.46823 15.0
1.0 13.0 13.0 21.8009 31.13489 56.43503 1.0
1.0 13.0 1.0 66.232 89.23896 7.46823 1.0
1.0 14.0 14.0 128.3157 116.03366 40.2742 53.0
1.0 14.0 1.0 66.232 89.23896 7.46823 53.0
1.0 19.0 19.0 66.40782 15.79885 45.3843 24.0
1.0 19.0 1.0 66.232 89.23896 7.46823 24.0
1.0 20.0 20.0 85.09347 53.74418 22.30234 2149.0
1.0 20.0 1.0 66.232 89.23896 7.46823 2149.0
1.0 21.0 21.0 28.28328 78.10443 19.29739 1485.0
1.0 21.0 1.0 66.232 89.23896 7.46823 1485.0
1.0 30.0 30.0 88.39473 139.93698 62.73049 352.0
1.0 30.0 1.0 66.232 89.23896 7.46823 352.0
1.0 31.0 31.0 121.56696 38.99608 36.06366 4.0
1.0 31.0 1.0 66.232 89.23896 7.46823 4.0
1.0 39.0 39.0 21.76936 50.1632 32.83317 248.0
1.0 39.0 1.0 66.232 89.23896 7.46823 248.0
1.0 40.0 40.0 83.28553 23.53895 42.39965 17.0
1.0 40.0 1.0 66.232 89.23896 7.46823 17.0
1.0 45.0 45.0 35.03433 116.34902 28.60319 1802.0
1.0 45.0 1.0 66.232 89.23896 7.46823 1802.0
1.0 46.0 46.0 114.5387 130.24101 52.74546 153.0
1.0 46.0 1.0 66.232 89.23896 7.46823 153.0
2.0 0.0 0.0 55.10963 48.93311 141.98962 11.0
2.0 0.0 2.0 27.37351 25.36536 87.72849 11.0
2.0 2.0 2.0 27.37351 25.36536 87.72849 6713.0
2.0 2.0 2.0 27.37351 25.36536 87.72849 6713.0
2.0 3.0 3.0 83.16055 3.83079 88.02778 301.0
2.0 3.0 2.0 27.37351 25.36536 87.72849 301.0
2.0 6.0 6.0 5.47875 84.78786 74.40348 442.0
2.0 6.0 2.0 27.37351 25.36536 87.72849 442.0
2.0 10.0 10.0 97.0297 3.90795 61.10876 1.0
2.0 10.0 2.0 27.37351 25.36536 87.72849 1.0
2.0 11.0 11.0 48.53485 14.07991 56.60291 1343.0
2.0 11.0 2.0 27.37351 25.36536 87.72849 1343.0
2.0 13.0 13.0 21.8009 31.13489 56.43503 1358.0
2.0 13.0 2.0 27.37351 25.36536 87.72849 1358.0
2.0 16.0 16.0 37.1002 39.02903 124.65795 714.0
2.0 16.0 2.0 27.37351 25.36536 87.72849 714.0
2.0 19.0 19.0 66.40782 15.79885 45.3843 10.0
2.0 19.0 2.0 27.37351 25.36536 87.72849 10.0
2.0 20.0 20.0 85.09347 53.74418 22.30234 1.0
2.0 20.0 2.0 27.37351 25.36536 87.72849 1.0
2.0 21.0 21.0 28.28328 78.10443 19.29739 1.0
2.0 21.0 2.0 27.37351 25.36536 87.72849 1.0
2.0 22.0 22.0 25.10209 80.072 119.46754 80.0
2.0 22.0 2.0 27.37351 25.36536 87.72849 80.0
2.0 27.0 27.0 18.71983 45.33865 103.72826 1651.0
2.0 27.0 2.0 27.37351 25.36536 87.72849 1651.0
2.0 28.0 28.0 84.37415 38.93967 143.14353 1.0
