TargetArea SourceArea Area AvgPosX AvgPosY AvgPosZ SumWeights
0.0 0.0 0.0 55.08925 48.8988 141.9695 3883.0
0.0 0.0 0.0 55.08925 48.8988 141.9695 3883.0
0.0 2.0 2.0 27.40168 25.32937 87.71511 10.0
0.0 2.0 0.0 55.08925 48.8988 141.9695 10.0
0.0 4.0 4.0 72.0466 108.39522 139.66672 15.0
0.0 4.0 0.0 55.08925 48.8988 141.9695 15.0
0.0 5.0 5.0 36.15797 130.02565 82.26203 1.0
0.0 5.0 0.0 55.08925 48.8988 141.9695 1.0
0.0 16.0 16.0 37.08992 39.12806 124.71805 1456.0
0.0 16.0 0.0 55.08925 48.8988 141.9695 1456.0
0.0 22.0 22.0 25.08563 80.03456 119.45245 575.0
0.0 22.0 0.0 55.08925 48.8988 141.9695 575.0
0.0 24.0 24.0 107.85077 87.2165 149.15209 14.0
0.0 24.0 0.0 55.08925 48.8988 141.9695 14.0
0.0 27.0 27.0 18.72422 45.34712 103.73561 31.0
0.0 27.0 0.0 55.08925 48.8988 141.9695 31.0
0.0 28.0 28.0 84.28024 38.98292 143.16421 1108.0
0.0 28.0 0.0 55.08925 48.8988 141.9695 1108.0
0.0 29.0 29.0 122.66841 20.58264 121.18388 1.0
0.0 29.0 0.0 55.08925 48.8988 141.9695 1.0
0.0 33.0 33.0 97.1445 49.94531 149.24067 271.0
0.0 33.0 0.0 55.08925 48.8988 141.9695 271.0
0.0 36.0 36.0 51.16419 19.50972 119.70489 474.0
0.0 36.0 0.0 55.08925 48.8988 141.9695 474.0
0.0 37.0 37.0 80.20711 11.05271 113.79932 80.0
0.0 37.0 0.0 55.08925 48.8988 141.9695 80.0
0.0 38.0 38.0 88.66557 68.42994 152.61771 401.0
0.0 38.0 0.0 55.08925 48.8988 141.9695 401.0
0.0 41.0 41.0 59.81556 126.04753 122.50016 2.0
0.0 41.0 0.0 55.08925 48.8988 141.9695 2.0
0.0 42.0 42.0 56.63633 85.23413 144.96177 912.0
0.0 42.0 0.0 55.08925 48.8988 141.9695 912.0
0.0 44.0 44.0 70.24603 22.71677 131.34251 577.0
0.0 44.0 0.0 55.08925 48.8988 141.9695 577.0
1.0 1.0 1.0 66.21686 89.23127 7.46689 11125.0
1.0 1.0 1.0 66.21686 89.23127 7.46689 11125.0
1.0 5.0 5.0 36.15797 130.02565 82.26203 19.0
1.0 5.0 1.0 66.21686 89.23127 7.46689 19.0
1.0 6.0 6.0 5.47559 84.78993 74.39811 1.0
1.0 6.0 1.0 66.21686 89.23127 7.46689 1.0
1.0 8.0 8.0 108.13223 85.99528 38.65456 1653.0
1.0 8.0 1.0 66.21686 89.23127 7.46689 1653.0
1.0 11.0 11.0 48.5332 14.09787 56.56091 22.0
1.0 11.0 1.0 66.21686 89.23127 7.46689 22.0
1.0 13.0 13.0 21.79317 31.15843 56.43349 1.0
1.0 13.0 1.0 66.21686 89.23127 7.46689 1.0
1.0 14.0 14.0 128.27087 116.04881 40.25671 57.0
1.0 14.0 1.0 66.21686 89.23127 7.46689 57.0
1.0 19.0 19.0 66.4239 15.76377 45.43041 21.0
1.0 19.0 1.0 66.21686 89.23127 7.46689 21.0
1.0 20.0 20.0 85.10725 53.74182 22.33148 2139.0
1.0 20.0 1.0 66.21686 89.23127 7.46689 2139.0
1.0 21.0 21.0 28.28916 78.12344 19.29463 1433.0
1.0 21.0 1.0 66.21686 89.23127 7.46689 1433.0
1.0 30.0 30.0 88.32407 139.93309 62.68543 355.0
