TargetArea SourceArea Area AvgPosX AvgPosY AvgPosZ SumWeights
0.0 0.0 0.0 55.08747 48.91387 141.97595 3901.0
0.0 0.0 0.0 55.08747 48.91387 141.97595 3901.0
0.0 2.0 2.0 27.39958 25.32725 87.71558 14.0
0.0 2.0 0.0 55.08747 48.91387 141.97595 14.0
0.0 4.0 4.0 72.08862 108.39251 139.67948 12.0
0.0 4.0 0.0 55.08747 48.91387 141.97595 12.0
0.0 5.0 5.0 36.15785 130.04 82.20265 1.0
0.0 5.0 0.0 55.08747 48.91387 141.97595 1.0
0.0 16.0 16.0 37.08732 39.15521 124.73322 1451.0
0.0 16.0 0.0 55.08747 48.91387 141.97595 1451.0
0.0 22.0 22.0 25.08856 80.04341 119.45727 546.0
0.0 22.0 0.0 55.08747 48.91387 141.97595 546.0
0.0 24.0 24.0 107.89139 87.20078 149.14829 13.0
0.0 24.0 0.0 55.08747 48.91387 141.97595 13.0
0.0 27.0 27.0 18.70428 45.362 103.71056 25.0
0.0 27.0 0.0 55.08747 48.91387 141.97595 25.0
0.0 28.0 28.0 84.27317 38.97593 143.15882 1134.0
0.0 28.0 0.0 55.08747 48.91387 141.97595 1134.0
0.0 33.0 33.0 97.18455 49.96944 149.24179 274.0
0.0 33.0 0.0 55.08747 48.91387 141.97595 274.0
0.0 36.0 36.0 51.18593 19.51702 119.73604 478.0
0.0 36.0 0.0 55.08747 48.91387 141.97595 478.0
0.0 37.0 37.0 80.22488 11.04867 113.78829 73.0
0.0 37.0 0.0 55.08747 48.91387 141.97595 73.0
0.0 38.0 38.0 88.6954 68.42689 152.6146 420.0
0.0 38.0 0.0 55.08747 48.91387 141.97595 420.0
0.0 41.0 41.0 59.83678 126.05611 122.50272 3.0
0.0 41.0 0.0 55.08747 48.91387 141.97595 3.0
0.0 42.0 42.0 56.61206 85.24822 144.94618 934.0
0.0 42.0 0.0 55.08747 48.91387 141.97595 934.0
0.0 44.0 44.0 70.26677 22.71753 131.34855 575.0
0.0 44.0 0.0 55.08747 48.91387 141.97595 575.0
1.0 1.0 1.0 66.2527 89.20111 7.46596 11343.0
1.0 1.0 1.0 66.2527 89.20111 7.46596 11343.0
1.0 5.0 5.0 36.15785 130.04 82.20265 22.0
1.0 5.0 1.0 66.2527 89.20111 7.46596 22.0
1.0 6.0 6.0 5.47626 84.8192 74.39279 1.0
1.0 6.0 1.0 66.2527 89.20111 7.46596 1.0
1.0 8.0 8.0 108.13946 86.01196 38.66453 1657.0
1.0 8.0 1.0 66.2527 89.20111 7.46596 1657.0
1.0 11.0 11.0 48.5436 14.12188 56.47161 19.0
1.0 11.0 1.0 66.2527 89.20111 7.46596 19.0
1.0 14.0 14.0 128.32545 116.04976 40.29939 54.0
1.0 14.0 1.0 66.2527 89.20111 7.46596 54.0
1.0 19.0 19.0 66.41107 15.79767 45.38301 23.0
1.0 19.0 1.0 66.2527 89.20111 7.46596 23.0
1.0 20.0 20.0 85.00726 53.68516 22.27165 2224.0
1.0 20.0 1.0 66.2527 89.20111 7.46596 2224.0
1.0 21.0 21.0 28.29887 78.10903 19.28262 1370.0
1.0 21.0 1.0 66.2527 89.20111 7.46596 1370.0
1.0 30.0 30.0 88.35729 139.9359 62.72078 348.0
1.0 30.0 1.0 66.2527 89.20111 7.46596 348.0
1.0 31.0 31.0 121.5574 38.94331 36.04146 2.0
1.0 31.0 1.0 66.2527 89.20111 7.46596 2.0
1.0 39.0 39.0 21.81834 50.1398 32.78064 277.0
1.0 39.0 1.0 66.2527 89.20111 7.46596 277.0
1.0 40.0 40.0 83.25455 23.53573 42.40849 16.0
1.0 40.0 1.0 66.2527 89.20111 7.46596 16.0
1.0 45.0 45.0 35.05209 116.36374 28.61631 1836.0
1.0 45.0 1.0 66.2527 89.20111 7.46596 1836.0
1.0 46.0 46.0 114.46818 130.242 52.70673 151.0
1.0 46.0 1.0 66.2527 89.20111 7.46596 151.0
2.0 0.0 0.0 55.08747 48.91387 141.97595 13.0
2.0 0.0 2.0 27.39958 25.32725 87.71558 13.0
2.0 2.0 2.0 27.39958 25.32725 87.71558 6699.0
2.0 2.0 2.0 27.39958 25.32725 87.71558 6699.0
2.0 3.0 3.0 83.19152 3.83047 88.0234 347.0
2.0 3.0 2.0 27.39958 25.32725 87.71558 347.0
2.0 6.0 6.0 5.47626 84.8192 74.39279 450.0
2.0 6.0 2.0 27.39958 25.32725 87.71558 450.0
2.0 10.0 10.0 97.06798 3.9254 61.09444 1.0
2.0 10.0 2.0 27.39958 25.32725 87.71558 1.0
2.0 11.0 11.0 48.5436 14.12188 56.47161 1375.0
2.0 11.0 2.0 27.39958 25.32725 87.71558 1375.0
2.0 13.0 13.0 21.80346 31.1462 56.415 1416.0
2.0 13.0 2.0 27.39958 25.32725 87.71558 1416.0
2.0 16.0 16.0 37.08732 39.15521 124.73322 704.0
2.0 16.0 2.0 27.39958 25.32725 87.71558 704.0
2.0 19.0 19.0 66.41107 15.79767 45.38301 15.0
2.0 19.0 2.0 27.39958 25.32725 87.71558 15.0
