Step,Activity,Dampening,CurrentCalcium,TargetCalcium,SynapticInput,BackgroundInput,GrownAxons,ConnectedAxons,GrownDendrites,ConnectedDendrites
1,-61.8632,-11.9857,0.0037,0.7,0.0,4.043,0.0,0.0,0.0,0.0
2,-62.7047,-11.8279,0.0088,0.7,0.0,4.0013,0.0,0.0,0.0,0.0
3,-61.8245,-11.84,0.0137,0.7,0.0,4.0203,0.0,0.0,0.0,0.0
4,-62.765,-11.7594,0.0188,0.7,0.0,3.9367,0.0,0.0,0.0,0.0
5,-61.8308,-11.8406,0.0236,0.7,0.0,4.0101,0.0,0.0,0.0,0.0
6,-62.225,-11.8348,0.0285,0.7,0.0,4.0013,0.0,0.0,0.0,0.0
7,-61.5078,-11.8351,0.0333,0.7,0.0,4.0304,0.0,0.0,0.0,0.0
8,-62.5769,-11.8325,0.0381,0.7,0.0,3.9785,0.0,0.0,0.0,0.0
9,-61.6339,-11.8582,0.0427,0.7,0.0,3.9532,0.0,0.0,0.0,0.0
10,-62.5939,-11.8382,0.0474,0.7,0.0,4.0873,0.0,0.0,0.0,0.0
11,-62.7012,-11.8214,0.0521,0.7,0.0,4.0215,0.0,0.0,0.0,0.0
12,-62.4668,-11.8141,0.0566,0.7,0.0,4.0139,0.0,0.0,0.0,0.0
13,-62.2557,-11.8437,0.0611,0.7,0.0,3.9873,0.0,0.0,0.0,0.0
14,-62.0073,-11.7646,0.0656,0.7,0.0,3.9987,0.0,0.0,0.0,0.0
15,-62.5668,-11.8676,0.07,0.7,0.0,3.9937,0.0,0.0,0.0,0.0
16,-62.1232,-11.8503,0.0743,0.7,0.0,3.9456,0.0,0.0,0.0,0.0
17,-62.6853,-11.82,0.0788,0.7,0.0,4.0418,0.0,0.0,0.0,0.0
18,-61.9764,-11.856,0.0831,0.7,0.0,4.0025,0.0,0.0,0.0,0.0
19,-62.8698,-11.8432,0.0874,0.7,0.0,3.9899,0.0,0.0,0.0,0.0
20,-62.1295,-11.824,0.0916,0.7,0.0,4.0316,0.0,0.0,0.0,0.0
21,-62.1549,-11.8174,0.0958,0.7,0.0,4.0,0.0,0.0,0.0,0.0
22,-62.0911,-11.8304,0.0999,0.7,0.0,3.9646,0.0,0.0,0.0,0.0
23,-62.2332,-11.8305,0.104,0.7,0.0,3.9608,0.0,0.0,0.0,0.0
24,-61.9822,-11.853,0.1081,0.7,0.0,3.9759,0.0,0.0,0.0,0.0
25,-62.3422,-11.8332,0.1121,0.7,0.0,4.0076,0.0,0.0,0.0,0.0
26,-61.8212,-11.8335,0.1161,0.7,0.0,4.0266,0.0,0.0,0.0,0.0
27,-62.2008,-11.8556,0.12,0.7,0.0,4.0304,0.0,0.0,0.0013,0.0
28,-62.5954,-11.8473,0.124,0.7,0.0,4.043,0.0,0.0,0.0013,0.0
29,-62.1383,-11.873,0.1277,0.7,0.0,4.0114,0.0,0.0,0.0025,0.0
30,-62.4696,-11.836,0.1316,0.7,0.0,4.0101,0.0,0.0,0.0038,0.0
31,-61.8286,-11.915,0.1353,0.7,0.0,3.9671,0.0,0.0,0.0051,0.0
32,-62.716,-11.8074,0.1391,0.7,0.0,3.9038,0.0,0.0,0.0076,0.0
33,-61.8195,-11.759,0.1428,0.7,0.0,4.0114,0.0,0.0,0.0089,0.0
34,-62.2482,-11.7614,0.1465,0.7,0.0,3.9949,0.0,0.0,0.0101,0.0
35,-61.9045,-11.8484,0.1501,0.7,0.0,4.0177,0.0,0.0,0.0127,0.0
36,-61.8012,-11.8345,0.1537,0.7,0.0,3.9823,0.0,0.0,0.0152,0.0
37,-62.4574,-11.8247,0.1572,0.7,0.0,3.9949,0.0,0.0,0.0177,0.0
38,-62.57,-11.8514,0.1607,0.7,0.0,4.0494,0.0,0.0,0.0203,0.0
39,-62.4777,-11.8508,0.1642,0.7,0.0,4.0367,0.0,0.0,0.0228,0.0
40,-62.3258,-11.8531,0.1676,0.7,0.0,3.9392,0.0,0.0,0.0253,0.0
41,-62.7354,-11.8054,0.1711,0.7,0.0,4.0367,0.0,0.0,0.0291,0.0
42,-62.2745,-11.8489,0.1745,0.7,0.0,3.981,0.0,0.0,0.0329,0.0
43,-62.376,-11.8212,0.1779,0.7,0.0,4.0937,0.0,0.0,0.0354,0.0
44,-62.3469,-11.84,0.1812,0.7,0.0,3.9823,0.0,0.0,0.0392,0.0
45,-62.3726,-11.8199,0.1845,0.7,0.0,4.0177,0.0,0.0,0.043,0.0
46,-62.2586,-11.837,0.1877,0.7,0.0,3.9873,0.0,0.0,0.0468,0.0
47,-62.476,-11.8474,0.1909,0.7,0.0,3.9418,0.0,0.0,0.0506,0.0
48,-62.512,-11.8595,0.1941,0.7,0.0,3.943,0.0,0.0,0.0557,0.0
49,-62.0697,-11.8392,0.1972,0.7,0.0,4.0354,0.0,0.0,0.0595,0.0
50,-62.9759,-11.7789,0.2004,0.7,0.0,4.0177,0.0,0.0,0.0646,0.0
51,-62.4095,-11.8121,0.2034,0.7,0.0,3.9544,0.0,0.0,0.0684,0.0
